category,subcategory,sub_subcategory,account_name,amount,total_amount,level,is_header,is_subtotal
経常収益,,,経常収益,,,1,True,
受取会費,,,受取会費,,,1,True,
受取会費,,,受取入会金,6000.0,,2,False,False
受取会費,,,正会員受取会費,311000.0,,2,False,False
受取会費,,,賛助会員受取会費,47000.0,,2,False,False
受取会費,,,利用会員受取会費,42000.0,406000.0,2,False,False
受取寄付金,,,受取寄付金,,,1,True,
受取寄付金,,,受取寄付金,5056942.0,,2,False,False
受取助成金等,,,受取助成金等,,,1,True,
受取助成金等,,,受取助成金,130000.0,,2,False,False
事業収益,,,事業収益,,,1,True,
事業収益,,,事業 収益,2347170.0,,2,False,False
事業収益,,,受託事業収益（公共部門）,25643785.0,,2,False,False
事業収益,,,受託事業収益（民間部門）,1624712.0,29615667.0,2,False,False
その他収益,,,その他収益,,,1,True,
その他収益,,,受取 利息,204.0,,2,False,False
その他収益,,,雑 収 益,1200.0,1404.0,2,False,False
その他収益,,,経常収益  計,35210013.0,,2,False,True
経常費用,,,経常費用,,,1,True,
事業費,,,事業費,,,1,True,
事業費,,人件費,人件費,,,3,True,
事業費,,人件費,給料 手当,9810255.0,,4,False,False
事業費,,人件費,法定福利費,990563.0,,4,False,False
事業費,,人件費,退職給付費用(事),50983.0,,4,False,False
事業費,,人件費,通 勤 費,345503.0,,4,False,False
事業費,,人件費,福利厚生費,87822.0,,4,False,False
事業費,,人件費,人件費計,11285126.0,,4,False,True
事業費,,その他経費,その他経費,,,3,True,
事業費,,その他経費,売上 原価,277200.0,,4,False,False
事業費,,その他経費,業務委託費,4223086.0,,4,False,False
事業費,,その他経費,諸 謝 金,9697259.0,,4,False,False
事業費,,その他経費,印刷製本費,198135.0,,4,False,False
事業費,,その他経費,会 議 費,2800.0,,4,False,False
事業費,,その他経費,旅費交通費,367127.0,,4,False,False
事業費,,その他経費,通信運搬費,783100.0,,4,False,False
事業費,,その他経費,消耗品 費,327050.0,,4,False,False
事業費,,その他経費,水道光熱費,180209.0,,4,False,False
事業費,,その他経費,賃 借 料,1625650.0,,4,False,False
事業費,,その他経費,保 険 料,27284.0,,4,False,False
事業費,,その他経費,諸 会 費,138000.0,,4,False,False
事業費,,その他経費,租税 公課,1359770.0,,4,False,False
事業費,,その他経費,支払手数料,267641.0,,4,False,False
事業費,,その他経費,支払寄付金,3000000.0,,4,False,False
事業費,,その他経費,修 繕 費,20229.0,,4,False,False
事業費,,その他経費,新聞図書費,113126.0,,4,False,False
事業費,,その他経費,慶 弔 費,9618.0,,4,False,False
事業費,,その他経費,雑   費,100196.0,,4,False,False
事業費,,その他経費,その他経費計,22717480.0,,4,False,True
事業費,,その他経費,事業費  計,34002606.0,,4,False,True
管理費,,,管理費,,,1,True,
管理費,,人件費,人件費,,,3,True,
管理費,,人件費,給料 手当,773424.0,,4,False,False
管理費,,人件費,法定福利費,78096.0,,4,False,False
管理費,,人件費,退職給付費用,4017.0,,4,False,False
管理費,,人件費,通 勤 費,27237.0,,4,False,False
管理費,,人件費,人件費計,889699.0,,4,False,True
管理費,,その他経費,その他経費,,,3,True,
管理費,,その他経費,諸 謝 金,9111.0,,4,False,False
管理費,,その他経費,印刷製本費,52.0,,4,False,False
管理費,,その他経費,旅費交通費,2242.0,,4,False,False
管理費,,その他経費,通信運搬費,33325.0,,4,False,False
管理費,,その他経費,消耗品 費,12000.0,,4,False,False
管理費,,その他経費,新聞図書費,4474.0,,4,False,False
管理費,,その他経費,修 繕 費,801.0,,4,False,False
管理費,,その他経費,水道光熱費,7126.0,,4,False,False
管理費,,その他経費,賃 借 料,65890.0,,4,False,False
管理費,,その他経費,保 険 料,1077.0,,4,False,False
管理費,,その他経費,慶 弔 費,382.0,,4,False,False
管理費,,その他経費,支払手数料,20470.0,,4,False,False
管理費,,その他経費,雑   費,3883.0,,4,False,False
管理費,,その他経費,その他経費計,160833.0,,4,False,True
管理費,,その他経費,管理費  計,1050532.0,,4,False,True
管理費,,その他経費,経常費用  計,35053138.0,,4,False,True
管理費,,その他経費,当期経常増減額,156875.0,,4,False,False
経常外収益,,,経常外収益,,,1,True,
経常外収益,,,過年度損益修正益,290663.0,,2,False,False
経常外収益,,,経常外収益  計,290663.0,,2,False,True
経常外費用,,,経常外費用,,,1,True,
経常外費用,,,経常外費用  計,0.0,,2,False,True
経常外費用,,,税引前当期正味財産増減額,447538.0,,2,False,False
経常外費用,,,法人税、住民税及び事業税,71029.0,,2,False,False
経常外費用,,,当期正味財産増減額,376509.0,,2,False,False
経常外費用,,,前期繰越正味財産額,25920021.0,,2,False,False
経常外費用,,,次期繰越正味財産額,26296530.0,,2,False,False
